Recency,Frequency,Monetary
2,38,0.0
0,4,10500.0
11,14,0.0
2,40,0.0
1,4,7000.0
0,4,23500.0
11,14,0.0
28,1,3500.0
0,1,3500.0
2,39,136500.0
2,36,126000.0
1,4,7000.0
1,4,3500.0
2,39,136500.0
1,4,3500.0
11,14,0.0
29,1,3500.0
0,4,7000.0
2,39,136500.0
21,1,0.0
2,37,0.0
7,3,7000.0
0,4,3500.0
17,1,0.0
2,35,122500.0
2,40,140000.0
2,39,0.0
2,39,780000.0
1,3,7000.0
2,39,0.0
20,1,0.0
1,4,10500.0
2,39,136500.0
2,37,0.0
1,3,27000.0
2,39,136500.0
1,4,3500.0
2,38,133000.0
11,13,0.0
0,4,10500.0
2,40,0.0
19,1,0.0
11,13,45500.0
11,14,49000.0
2,38,0.0
0,4,3500.0
1,4,7000.0
1,4,7000.0
0,3,3500.0
2,37,0.0
2,39,0.0
2,39,0.0
8,3,7000.0
1,3,3500.0
0,4,27000.0
11,14,0.0
11,13,0.0
2,40,140000.0
11,14,49000.0
14,1,3500.0
1,4,10500.0
11,13,45500.0
7,1,3500.0
1,4,7000.0
15,2,3500.0
0,4,3500.0
26,1,0.0
2,39,136500.0
2,38,133000.0
2,38,0.0
11,14,280000.0
0,4,10500.0
1,4,14000.0
2,39,0.0
16,1,0.0
2,39,0.0
0,4,10500.0
2,37,129500.0
2,37,129500.0
8,2,3500.0
1,4,27000.0
2,39,0.0
1,4,3500.0
1,44,147000.0
2,39,0.0
6,1,0.0
1,4,14000.0
2,37,129500.0
1,4,3500.0
2,39,0.0
2,40,0.0
19,1,3500.0
2,39,136500.0
2,36,126000.0
2,39,136500.0
2,40,800000.0
1,4,7000.0
2,39,0.0
11,14,49000.0
11,13,45500.0
11,1,0.0
2,38,133000.0
2,38,133000.0
23,1,3500.0
2,40,0.0
2,40,0.0
1,4,3500.0
1,1,3500.0
2,36,0.0
2,40,0.0
1,3,3500.0
24,1,3500.0
24,1,20000.0
1,4,10500.0
1,4,23500.0
2,38,133000.0
1,4,7000.0
2,38,0.0
11,14,49000.0
11,1,3500.0
2,38,133000.0
2,38,133000.0
2,40,140000.0
7,1,3500.0
0,3,7000.0
0,4,7000.0
2,37,129500.0
23,1,3500.0
1,4,10500.0
20,1,3500.0
22,1,0.0
1,4,7000.0
11,14,49000.0
2,38,133000.0
15,1,0.0
2,39,0.0
2,37,0.0
2,39,136500.0
11,1,0.0
2,40,140000.0
2,37,0.0
2,39,136500.0
1,4,3500.0
2,38,0.0
0,4,10500.0
1,2,3500.0
2,40,140000.0
1,4,27000.0
2,40,0.0
0,4,47000.0
2,36,126000.0
21,1,0.0
3,1,3500.0
2,39,136500.0
0,4,14000.0
2,39,0.0
1,4,7000.0
1,4,10500.0
15,1,3500.0
12,1,0.0
0,4,7000.0
2,39,136500.0
2,38,133000.0
7,3,7000.0
1,4,0.0
2,38,133000.0
2,39,136500.0
2,39,0.0
1,4,27000.0
19,1,3500.0
27,1,3500.0
11,12,42000.0
0,4,14000.0
2,39,136500.0
11,13,45500.0
11,14,0.0
18,1,3500.0
2,39,0.0
1,4,23500.0
2,38,0.0
2,38,133000.0
2,38,760000.0
2,40,0.0
8,2,3500.0
2,39,0.0
2,39,780000.0
0,4,10500.0
1,4,3500.0
0,3,27000.0
2,39,136500.0
2,40,140000.0
18,1,0.0
1,4,14000.0
2,39,136500.0
11,11,38500.0
1,4,7000.0
1,4,7000.0
1,4,10500.0
1,4,0.0
12,1,0.0
2,38,0.0
1,4,3500.0
2,38,0.0
2,37,129500.0
15,1,0.0
0,4,7000.0
2,40,140000.0
2,54,140000.0
2,37,129500.0
26,1,3500.0
2,35,122500.0
1,4,0.0
13,1,3500.0
23,1,0.0
0,4,14000.0
1,2,3500.0
